,id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan,Unnamed: 0,Beds,Baths,Car,Lot,Valuation,SateType1,SaleType2,DateSold1,DateSold2,SoldPrice1,SoldPrice2,Picture,Blob,Street_Numb,Street_Name,Street_Suff
1069,868688,10438804,19 McClean Street,Blacktown,2148,NSW,-33.758447,150.886863,house,,1,1,3,TRUE,1069,0,0,0,0,"$543,333", , , , , , ,https://p360images.realestateview.com.au/default/19-mcclean-street-blacktown-nsw-2148-xl,"19 Mcclean Street, Blacktown 2148 NSW is a house with 2 bedrooms and 1 bathroom. The land area of this property is 607 square metres. ",19,McClean,Street
1071,216210,10458530,20 Fowler Street,Seven Hills,2147,NSW,-33.78121,150.92453,house,556,3,2,2,TRUE,1071,0,0,0,0,"$650,000",Private Sale            , ,Mar-59, ,"$6,050", ,https://p360images.realestateview.com.au/default/20-fowler-street-seven-hills-nsw-2147-xl,This is a house in Seven Hills with 3 bedrooms and 2 bathrooms. Its postcode is 2147. It is on a block of land that is 562 sqm. ,20,Fowler,Street
1073,4172308,10476360,1 Linda Street,Seven Hills,2147,NSW,-33.76448,150.94432,house,556,1,1,1,TRUE,1073,3,1,1,563,"$633,333",Private Sale            ,Private Sale            ,Feb-06,Aug-02,"$315,000","$246,500",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/J7wpFJbPbaqcvkTDXAk5IlsftxFtCBmLRhqACZ6u7DA1/1-linda-street-seven-hills-nsw-2147_img0.jpg,"1 Linda Street, Seven Hills 2147 NSW is a house. It has 3 bedrooms and 1 bathroom. This is on a 563 square metre block of land. This last sold for $315,000 in February 2006. ",1,Linda,Street
1076,2934869,10495196,19 Gladys Crescent,Seven Hills,2147,NSW,-33.769634,150.92746,house,569,1,1,0,TRUE,1076,2,1,1,560,"$569,000", ,Private Sale            , ,Oct-14, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/GFJAWvfgn1V0UVESKz2FMTTSaxp6ZOcej-Q5MaAG9Cg1/19-gladys-crescent-seven-hills-nsw-2147_img0.jpg,"19 Gladys Crescent, Seven Hills 2147 NSW is a house. This property has 2 bedrooms and 1 bathroom. The block size is 560 square metres. According to our records, this last sold for $530,000 in October 2014. ",19,Gladys,Crescent
1081,216216,10517998,53 Yvonne Street,Seven Hills,2147,NSW,-33.759775,150.946981,house,556,1,1,2,TRUE,1081,3,1,2,554,"$660,000",Private Sale            , ,Oct-11, ,"$395,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/RLpc8RYj__qKSUjEwPSHj04XvAoaKaHReUeLNelG8Mc1/53-yvonne-street-seven-hills-nsw-2147_img0.jpg,"This is a house in Seven Hills, 2147 with 3 bedrooms and 1 bathroom. Its block size is 554 square metres. When it last sold in October 2011, it went for $395,000. ",53,Yvonne,Street
1082,4148058,10521023,11 Mariko Place,Blacktown,2148,NSW,-33.786694,150.88469,house,,2,2,2,FALSE,1082,3,2,2,399,"$691,000",Private Sale            ,Private Sale            ,Jul-06,Jun-98,"$360,000","$210,650",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/4ribY7UwDveov0stfi1jo5M7Pn_rgnyjpds3dObrRUk1/11-mariko-place-blacktown-nsw-2148_img0.jpg,"11 Mariko Place, Blacktown 2148 NSW is a house with 3 bedrooms and 2 bathrooms. The land area of this property is 399 square metres. When it last sold in 2006, it went for $360,000. ",11,Mariko,Place
1083,3327305,10524017,21 Myrtle Street,Prospect,2148,NSW,-33.795025,150.90688,house,558,2,2,1,TRUE,1083,4,2,1,574,"$704,600",Auction            ,Private Sale            ,Nov-16,Jan-01,"$800,000","$259,000",https://p360images.realestateview.com.au/default/21-myrtle-street-prospect-nsw-2148-xl,"21 Myrtle Street is a house in Prospect with 4 bedrooms and 2 bathrooms. Its postcode is 2148. Its land area is 558 sqm. Last time it sold, it went for $800,000, which was in October 2016. ",21,Myrtle,Street
1085,2488812,10543656,18 Blue Hills Crescent,Blacktown,2148,NSW,-33.771065,150.89447,house,,2,2,3,FALSE,1085,3,2,3,590,"$669,333",Private Sale            ,Private Sale            ,Jun-93,Apr-92,"$125,000","$127,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/1OJPWZ7gP-KoblE0ILPck8EAmBRJVyGK1nknBwby1lM1/18-blue-hills-crescent-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown with 3 bedrooms and 2 bathrooms. Its postcode is 2148. The size of this block is 590 square metres. According to our data, this last sold for $125,000 in June 1993. ",18,Blue Hills,Crescent
1089,128500,10568182,130 Fitzwilliam Road,Toongabbie,2146,NSW,-33.785176,150.959483,house,557,1,1,1,TRUE,1089,3,1,1,557,"$793,333",Private Sale            ,Private Sale            ,May-18,May-02,"$788,000","$328,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/XDNCIP-lgRtHn0mPKu36aarINc8giQtCF_kwPIUdxYw1/130-fitzwilliam-road-toongabbie-nsw-2146_img0.jpg,"130 Fitzwilliam Road, Toongabbie 2146 NSW has 3 bedrooms and 1 bathroom. It is a house with brick veneer walls. The land area of this property is 557 square metres. It last sold in 2018 for $788,000. ",130,Fitzwilliam,Road
1092,68418,10582051,41A Matthew Crescent,Blacktown,2148,NSW,-33.779915,150.89789,house,,2,2,2,TRUE,1092,4,2,2,705,"$759,600",Private Sale            , ,Sep-04, ,"$282,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/etwBUpRsBlORsSw8J8Q3g1wEToN6m-cbQ8Bg3ZlYmt41/41a-matthew-crescent-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown, 2148 with 4 bedrooms and 2 bathrooms. Its block size is 711 square metres. In September 2004 this home sold for $282,000. ",41A,Matthew,Crescent
1093,4112313,10583858,17 Faulkner Street,Old Toongabbie,2146,NSW,-33.786766,150.97577,house,626,1,1,2,TRUE,1093,2,1,4,639,"$1,066,333", , , , , , ,https://p360images.realestateview.com.au/default/17-faulkner-street-old-toongabbie-nsw-2146-xl,"17 Faulkner Street, Old Toongabbie 2146 NSW is a house. It has 3 bedrooms and 1 bathroom. The block size of this property is 639 sqm. ",17,Faulkner,Street
1095,3841595,10596865,99 Vardys Road,Lalor Park,2147,NSW,-33.754952,150.933886,house,556,1,1,1,TRUE,1095,3,1,1,554,"$679,333",Private Sale            , ,Jun-97, ,"$140,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/QcVrx0wgNGAldXxw5L7Wq9DKV9qpBeUmveRZPk5HihU1/99-vardys-road-lalor-park-nsw-2147_img0.jpg,"99 Vardys Road is a house in Lalor Park with 3 bedrooms and 1 bathroom. Its postcode is 2147. This is on a 554 sqm block of land. Last time it sold was for $140,000, which was in June 1997. ",99,Vardys,Road
1101,4171417,10633255,41 Valparaiso Ave,Toongabbie,2146,NSW,-33.798023,150.93289,house,563,1,1,1,TRUE,1101,3,1,1,563,"$680,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/mV9PwnICRpNF6yw9CQzI0y2RiwZldV2stkv5nVfPSxc1/41-valparaiso-avenue-toongabbie-nsw-2146_img0.jpg,It is on a block of land that is 563 sqm. ,41,Valparaiso,Avenue
1106,1673457,10675120,120 Kennedy Parade,Lalor Park,2147,NSW,-33.766758,150.9331,house,,3,2,1,TRUE,1106,4,2,2,540,"$807,000", ,Private Sale            , ,Sep-08, ,"$265,000",https://p360images.realestateview.com.au/default/120-kennedy-parade-lalor-park-nsw-2147-xl,"120 Kennedy Parade, Lalor Park 2147 NSW is a house with 3 bedrooms and 2 bathrooms. Its block size is 540 square metres. In September 2008 this sold for $265,000. ",120,Kennedy,Parade
1114,68368,10717501,3/12 Dudley Avenue,Blacktown,2148,NSW,-33.768591,150.893924,house,,2,2,2,TRUE,1114,3,2,2,419,"$650,000", ,Private Sale            , ,Dec-11, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/upbJ1qMBv21Mba7GNvsKvjv4ATawYFIaA5gS-UoW66o1/3-12-dudley-avenue-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown with 3 bedrooms and 2 bathrooms. Its postcode is 2148. It is on a block of land that is 419 sqm. This last sold for $475,000 in December 2011. ",3-Dec,Dudley,Avenue
1116,3682604,10727085,8 Wake Place,Kings Park,2148,NSW,-33.74045,150.9123,house,,2,2,2,TRUE,1116,5,2,2,603,"$801,000",Private Sale            ,Private Sale            ,Feb-16,Mar-95,"$180,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Q1x4ypOMkiSbnwoJxqdUalF7XqSLYjoTPSQZJhyM8c81/8-wake-place-kings-park-nsw-2148_img0.jpg,"8 Wake Place is a house in Kings Park with 5 bedrooms and 2 bathrooms. Its postcode is 2148. The land area of this property is 557 square metres. According to our data, this last sold for $780,000 in January 2016. ",8,Wake,Place
1117,128505,10735847,27 Hurley Street,Toongabbie,2146,NSW,-33.78311,150.96492,house,556,1,1,2,TRUE,1117,6,1,2,558,"$921,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/bUheVLRolG4qEpN4Y6vOwj1wlR1jwCYT1M8lQSlZ4XU1/27-hurley-street-toongabbie-nsw-2146_img0.jpg,"27 Hurley Street, Toongabbie 2146 NSW is a house. It has 6 bedrooms and 1 bathroom. It is on a block of land that is 558 square metres. ",27,Hurley,Street
1120,2993803,10757604,50 Anthony Street,Blacktown,2148,NSW,-33.750781,150.921794,house,479,2,2,0,TRUE,1120,4,2,2,1035,"$721,000",Auction            ,Auction            ,Jul-18,Nov-17,"$651,000","$940,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/nK6nEODbPvViHTaRLhXk6Qhq_ICdwxcwhASwPGFEKqc1/50-anthony-street-blacktown-nsw-2148_img0.jpg,"50 Anthony Street, Blacktown 2148 NSW has 4 bedrooms and 2 bathrooms. It is a house with brick veneer walls. It is on a block of land that is 1035 sqm. According to our data, this last sold for $651,000 in July 2018. ",50,Anthony,Street
1125,802156,10773239,251 Madagascar Drive,Kings Park,2148,NSW,-33.743195,150.91423,house,749,1,1,2,TRUE,1125,3,1,2,742,"$661,667",Private Sale            ,Private Sale            ,Sep-05,Feb-99,"$355,000","$185,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/rtyshZAaczXzSyyKzs20zFEzqaMAQqjdZMGQtE4Em481/251-madagascar-drive-kings-park-nsw-2148_img0.jpg,"251 Madagascar Drive, Kings Park 2148 NSW is a house with 3 bedrooms and 1 bathroom. The block size is 749 square metres. In September 2005 this home sold for $355,000. ",251,Madagascar,Drive
1127,68345,10784175,113 Killarney Avenue,Blacktown,2148,NSW,-33.77342,150.8909,house,,1,1,2,FALSE,1127,3,1,2,657,"$574,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Hbj9lPUFvTJFr4kEJ0FC3m5eY3MJtq30a-Ye8HFQ09o1/113-killarney-avenue-blacktown-nsw-2148_img0.jpg,"113 Killarney Avenue, Blacktown 2148 NSW is a house with brick veneer walls. This property has 3 bedrooms and 1 bathroom. Its land area is 657 square metres. This house was last sold for $603,000 in September 2014. ",113,Killarney,Avenue
1128,292204,10790152,1 Ebro Street,Seven Hills,2147,NSW,-33.791759,150.930996,house,556,1,1,1,TRUE,1128,3,1,1,559,"$651,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/kf2yIcvBCqrxnc3z9ozEEhPyTFwzDKc51Gni8vFo3Vw1/1-ebro-street-seven-hills-nsw-2147_img0.jpg,The size of this block is 559 sqm. ,1,Ebro,Street
1131,3192570,10815547,20 Lombard Place,Prospect,2148,NSW,-33.796986,150.92345,house,,3,3,4,FALSE,1131,4,3,4,723,"$731,267",Private Sale            , ,Aug-95, ,"$170,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/ss_CcOwuUqlrpfO6C0tMI8MAZLiCoPheuTixxgencmk1/20-lombard-place-prospect-nsw-2148_img0.jpg,"20 Lombard Place, Prospect 2148 NSW is a house. It has 4 bedrooms and 3 bathrooms. Its land area is 723 square metres. Last time it sold was for $170,000, which was in 1995. ",20,Lombard,Place
1133,1934141,10830561,13 Brett Street,Kings Langley,2147,NSW,-33.755302,150.93738,house,600,2,2,1,FALSE,1133,4,2,1,624,"$944,167",Private Sale            ,Private Sale            ,Mar-17,Jan-13,"$880,000","$527,500",https://p360images.realestateview.com.au/default/13-brett-street-kings-langley-nsw-2147-xl,"This is a house in Kings Langley with 4 bedrooms and 2 bathrooms. Its postcode is 2147. The block size of this property is 624 square metres. Last time it sold, it went for $880,000, which was in 2017. ",13,Brett,Street
1134,4158910,10833701,1b Bristol Circuit,Blacktown,2148,NSW,-33.786359,150.892896,house,481,1,1,1,TRUE,1134,3,1,1,479,"$665,500",Private Sale            ,Private Sale            ,Sep-98,Aug-95,"$168,000","$140,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/u1V4jzh1XplZ7P4vTWCeOpWd-WKiYazWuVcD4rJ2VP81/1b-bristol-circuit-blacktown-nsw-2148_img0.jpg,"1B Bristol Circuit is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. Its block size is 479 square metres. The last time this property sold was in 1998 for $168,000. ",1b,Bristol,Circuit
1139,37139,10906655,7 Simmonds Street,Kings Langley,2147,NSW,-33.754584,150.946917,house,,1,1,2,FALSE,1139,3,1,2,688,"$756,667",Private Sale            ,Private Sale            ,Jun-18,Apr-03,"$830,000","$436,500",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/6Ht2wPzOD4Oe-WIEzgXFjB7rhEU9jBN1MkwQ9Z3bbPI1/7-simmonds-street-kings-langley-nsw-2147_img0.jpg,"7 Simmonds Street, Kings Langley 2147 NSW is a house. This property has 3 bedrooms and 1 bathroom. The land area of this property is 688 square metres. Last time it sold, it went for $436,500, which was in 2003. ",7,Simmonds,Street
1142,525786,10928755,49 Crudge Road,Marayong,2148,NSW,-33.75234,150.896176,house,543,2,2,3,TRUE,1142,5,2,3,520,"$801,000",Private Sale            ,Private Sale            ,Jul-18,Sep-02,"$240,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/18GCcBEySTl3lJbYFKbaZfIPO_ZajIl0rqqSfBo6iak1/49-crudge-road-marayong-nsw-2148_img0.jpg,"49 Crudge Road, Marayong 2148 NSW is a house with 5 bedrooms and 2 bathrooms. This is on a 520 square metre block of land. Last time it sold was for $240,000, which was in September 2002. ",49,Crudge,Road
1143,638213,10930006,6 Faulkner St,Old Toongabbie,2146,NSW,-33.787753,150.975681,house,556,2,2,2,FALSE,1143,3,2,2,552,"$758,667",Private Sale            , ,Aug-14, ,"$645,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/AL8TKWZ7yVoy-8EyrZUXIvbwXS1al4nWrWMWR1KIAJs1/6-faulkner-street-old-toongabbie-nsw-2146_img0.jpg,"6 Faulkner Street, Old Toongabbie 2146 NSW is a house. It has 3 bedrooms and 2 bathrooms. The size of this block is 552 square metres. Our records show that this was last sold in 2014 for $645,000. ",6,Faulkner,Street
1145,4108695,10937017,107 Stephen Street,Blacktown,2148,NSW,-33.76153,150.92027,house,746,1,1,1,TRUE,1145,0,0,0,0,"$722,000", , , , , , ,https://p360images.realestateview.com.au/default/107-stephen-street-blacktown-nsw-2148-xl,The block size of this property is 750 square metres. ,107,Stephen,Street
1149,68384,10976358,8 Monash Road,Blacktown,2148,NSW,-33.77234,150.8901,house,,1,1,5,TRUE,1149,3,1,5,606,"$614,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/jHhK7U5X59YaCeMFxqYU0iwip4hfWDKu2AzVEvZeRBE1/8-monash-road-blacktown-nsw-2148_img0.jpg,This is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. The land area is 606 square metres. ,8,Monash,Road
1150,216221,10979152,18 Sloop Street,Seven Hills,2147,NSW,-33.782568,150.921135,house,600,1,1,1,TRUE,1150,3,1,1,588,"$680,000",Private Sale            , ,Feb-94, ,"$165,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Ra26UqeLwJyZB4X5XA_nr-bhxWDGIO1Z-5x3pQ7KSsE1/18-sloop-street-seven-hills-nsw-2147_img0.jpg,"18 Sloop Street, Seven Hills 2147 NSW is a house. It has 3 bedrooms and 1 bathroom. It is on a block of land that is 588 sqm. Last time it sold was for $165,000, which was in February 1994. ",18,Sloop,Street
1153,51105,10988426,6 Bluegum Circuit,Northmead,2152,NSW,-33.78876,150.98375,house,506,2,2,2,FALSE,1153,4,2,2,506,"$931,667",Private Sale            ,Private Sale            ,May-09,Feb-02,"$605,000","$247,000",https://p360images.realestateview.com.au/default/6-bluegum-circuit-northmead-nsw-2152-xl,"6 Bluegum Circuit, Northmead 2152 NSW is a house. It has 5 bedrooms and 2 bathrooms. The land area of this property is 506 sqm. According to our data, this last sold for $605,000 in May 2009. ",6,Bluegum,Circuit
1161,3664603,11070046,2 Saxby Way,Blacktown,2148,NSW,-33.78242,150.88142,house,,1,1,1,TRUE,1161,4,1,3,451,"$701,667",Private Sale            ,Private Sale            ,Oct-15,Aug-99,"$660,000","$175,000",https://p360images.realestateview.com.au/default/2-saxby-way-blacktown-nsw-2148-xl,"2 Saxby Way, Blacktown 2148 NSW has 4 bedrooms, 1 bathroom with a tile roof. This property is a house. The block size is 451 square metres. Our records show that this was last sold in October 2015 for $660,000. ",2,Saxby,Way
1169,2922307,11108432,13 John Dwyer Road,Lalor Park,2147,NSW,-33.76292,150.93352,house,632,1,1,1,TRUE,1169,3,1,1,635,"$628,333",Private Sale            ,Private Sale            ,Oct-05,Jun-91,"$259,000","$105,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/58mLp-8pynGVtksbyxAOqWB9EqlnBQyFUe6GRf0Xkbo1/13-john-dwyer-road-lalor-park-nsw-2147_img0.jpg,"13 John Dwyer Road, Lalor Park 2147 NSW is a house with 3 bedrooms and 1 bathroom. Its block size is 635 sqm. Last time it sold was for $259,000, which was in 2005. ",13,John Dwyer,Road
1170,4111484,11115475,4 Joel Place,Kings Langley,2147,NSW,-33.758606,150.95009,house,721,2,2,1,TRUE,1170,3,2,1,721,"$799,000",Private Sale            ,Private Sale            ,Apr-04,Sep-99,"$500,000","$280,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/GlGLLOPHEfujeoelz8UmgGSrDJ2MqHEKlPbhCiiThx41/4-joel-place-kings-langley-nsw-2147_img0.jpg,"4 Joel Place, Kings Langley 2147 NSW is a house. It has 3 bedrooms and 2 bathrooms. The land area of this property is 721 square metres. According to our records, this was last sold for $500,000 in April 2004. ",4,Joel,Place
1171,2949266,11128458,35 Lamonerie St,Toongabbie,2146,NSW,-33.789705,150.955525,house,502,3,3,2,TRUE,1171,0,0,0,501,"$736,684",Private Sale            , ,Jun-92, ,"$210,000", ,https://p360images.realestateview.com.au/default/35-lamonerie-street-toongabbie-nsw-2146-xl,"Its block size is 501 square metres. In June 1992 this property sold for $210,000. ",35,Lamonerie,Street
1173,4171433,11134884,8 Meela Street,Blacktown,2148,NSW,-33.776524,150.88766,house,556,1,1,2,TRUE,1173,3,1,2,556,"$602,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/LGOasoad8Dp_rL1Qe9tCsROmvUT1sTUR-NbLrfJJLJg1/8-meela-street-blacktown-nsw-2148_img1.jpg,The block size is 556 sqm. ,8,Meela,Street
1179,1054557,11150771,290 Bungarribee Road,Blacktown,2148,NSW,-33.775348,150.889232,house,700,2,2,2,TRUE,1179,6,2,1,702,"$798,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/jNo-kMtYhY9Qt6jGckQ0M8dEwateUDpIwnCZ7joU9n81/290-bungarribee-road-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown, 2148 with 6 bedrooms and 2 bathrooms. It is on a block of land that is 702 square metres. ",290,Bungarribee,Road
1181,214292,11188684,48 Patterson Road,Lalor Park,2147,NSW,-33.759404,150.926974,house,562,4,1,2,TRUE,1181,4,1,2,531,"$723,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/zEVlDQuzykSwFs-Q5Ezz2otFS8iUIkRvBPAYC_dvIOs1/48-patterson-road-lalor-park-nsw-2147_img0.jpg,"This is a house in Lalor Park, 2147 with 4 bedrooms and 1 bathroom. Its block size is 531 square metres. ",48,Patterson,Road
1184,2279371,11207541,102 Myrtle St,Prospect,2148,NSW,-33.795223,150.913874,house,557,1,1,1,TRUE,1184,3,1,1,543,"$638,833", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/NiHQKu4YCHFOpk9iwW4UwhHkCoEzY4wPh52k7ZG_tbo1/102-myrtle-street-prospect-nsw-2148_img0.jpg,"This is a house in Prospect, 2148 with 3 bedrooms and 1 bathroom. The land area of this property is 543 square metres. ",102,Myrtle,Street
1185,2584645,11218763,13 Oulton Street,Prospect,2148,NSW,-33.793377,150.90901,house,557,2,2,3,TRUE,1185,3,2,3,556,"$719,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/26YLxvKEAn3gkx41jG43SekW_Bz1xz3A6KkKkBdejGI1/13-oulton-street-prospect-nsw-2148_img0.jpg,13 Oulton Street is a house in Prospect with 3 bedrooms and 2 bathrooms. Its postcode is 2148. The block size of this property is 557 sqm. ,13,Oulton,Street
1187,3472130,11239409,18 Iona Avenue,North Rocks,2151,NSW,-33.776256,151.015755,house,700,2,2,2,TRUE,1187,4,2,2,681,"$973,667",Private Sale            , ,Jul-97, ,"$289,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/MYjWMe5WBsDhODaHGSqcSGCrd_YthhEpw1GJHvJWwPo1/18-iona-avenue-north-rocks-nsw-2151_img0.jpg,"18 Iona Avenue, North Rocks 2151 NSW is a house with 4 bedrooms and 2 bathrooms. This is on a 681 square metre block of land. Last time it sold, it went for $289,000, which was in July 1997. ",18,Iona,Avenue
1191,3648466,11290200,2 Dallas Place,Toongabbie,2146,NSW,-33.796595,150.937869,house,607,1,1,1,TRUE,1191,3,1,1,603,"$651,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/nowwVI1Ebh_TznKgjV6UXU8fssw5qbPm4VxptxTdtsc1/2-dallas-place-toongabbie-nsw-2146_img0.jpg,"This is a house in Toongabbie, 2146 with 3 bedrooms and 1 bathroom. The size of this block is 603 sqm. ",2,Dallas,Place
1192,2149769,11311862,17 Orlando Crescent,Seven Hills,2147,NSW,-33.778114,150.93054,house,803,1,1,3,TRUE,1192,3,1,3,776,"$613,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/qcxZZWMRpfV5fPHOODYXCravwA5k6EY9QEvgNGr55N01/17-orlando-crescent-seven-hills-nsw-2147_img0.jpg,"17 Orlando Crescent, Seven Hills 2147 NSW is a house. It has 3 bedrooms and 1 bathroom. This is on a 776 square metre block of land. In August 2010 this property sold for $383,500. ",17,Orlando,Crescent
1194,4089634,11328935,5 Illoca Place,Toongabbie,2146,NSW,-33.792305,150.960808,house,,2,2,3,TRUE,1194,3,1,3,0,"$737,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/313LPAgetCNHr-b4SnkFcicOIQsfzwLk4n-HCU1dGcU1/5-illoca-place-toongabbie-nsw-2146_img0.jpg,5 Illoca Place is a house in Toongabbie with 3 bedrooms and 2 bathrooms. Its postcode is 2146. The block size of this property is 544 square metres. ,5,Illoca,Place
1196,128488,11343343,32A Portia Rd,Toongabbie,2146,NSW,-33.791615,150.94335,house,,3,3,2,FALSE,1196,5,3,1,0,"$974,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/0fEAVSO9zIyms9i-PjLqseYDWtEzq7eaoxrSU_gk-Ow1/32a-portia-road-toongabbie-nsw-2146_img0.jpg,This is a house in Toongabbie with 5 bedrooms and 3 bathrooms. Its postcode is 2146. This is on a 740 sqm block of land. ,32A,Portia,Road
1203,4034126,11404123,37 Julie Street,Blacktown,2148,NSW,-33.785279,150.903067,house,556,2,2,2,TRUE,1203,3,2,2,560,"$719,667",Private Sale            ,Private Sale            ,Mar-07,Aug-03,"$372,000","$379,500",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/HIvFB4gPyaA-jh1EOFN_Tzxr_O62Sll8a-CCevRfFz01/37-julie-street-blacktown-nsw-2148_img0.jpg,"37 Julie Street, Blacktown 2148 NSW is a house with 3 bedrooms and 2 bathrooms. The block size of this property is 560 sqm. The last sold price we have on record for this address is $372,000 which is from March 2007. ",37,Julie,Street
1205,2485530,11408131,4 Boronia St,Lalor Park,2147,NSW,-33.758633,150.921,house,550,1,1,1,TRUE,1205,0,0,0,0,"$663,333", , , , , , ,https://p360images.realestateview.com.au/default/4-boronia-street-lalor-park-nsw-2147-xl,The size of this block is 550 square metres. ,4,Boronia,Street
1206,2106849,11411159,6 Orange Place,Seven Hills,2147,NSW,-33.786472,150.9335,house,,1,1,2,TRUE,1206,3,1,2,793,"$692,000", ,Auction            , ,Jul-15, ,"$800,000",https://p360images.realestateview.com.au/default/-xl,"6 Orange Place, Seven Hills 2147 NSW is a house. This property has 3 bedrooms and 1 bathroom. Its block size is 793 sqm. When it last sold in July 2015, it went for $800,000. ",6,Orange,Place
1207,3192569,11415170,54 Norman Street,Prospect,2148,NSW,-33.798603,150.91032,house,,3,3,2,FALSE,1207,4,3,2,560,"$761,267",Private Sale            ,Private Sale            ,Mar-10,Oct-97,"$586,000","$225,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/R7cURqKCNzUGh3w6QQCihVdk59AeLpiT1bbCjKOIEYQ1/54-norman-street-prospect-nsw-2148_img0.jpg,"This is a house in Prospect, 2148 with 4 bedrooms and 3 bathrooms. The block size is 550 sqm. The last sold price we have on record for this property is $586,000 which is from March 2010. ",54,Norman,Street
1208,68455,11422072,1 Nash Place,Blacktown,2148,NSW,-33.760611,150.894495,house,620,1,1,1,FALSE,1208,0,0,0,627,"$543,333",Private Sale            , ,Jan-05, ,"$350,000", ,https://p360images.realestateview.com.au/default/1-nash-place-blacktown-nsw-2148-xl,"1 Nash Place, Blacktown 2148 NSW is a house. This property has 3 bedrooms and 1 bathroom. Its land area is 627 square metres. According to our data, this was last sold for $350,000 in January 2005. ",1,Nash,Place
1219,1211599,11519495,14 Laker Street,Blacktown,2148,NSW,-33.782997,150.910326,house,613,1,1,6,TRUE,1219,3,1,1,607,"$582,167", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/iH50FJ7UIwhCaTC09RdYz8zk7xzbyTqj69GDP-WcJ9A1/14-laker-street-blacktown-nsw-2148_img0.jpg,14 Laker Street is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. Its block size is 607 square metres. ,14,Laker,Street
1222,68379,11560692,1 Stewart Avenue,Blacktown,2148,NSW,-33.759561,150.903819,house,,4,2,2,TRUE,1222,4,2,2,552,"$718,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/HaeCOUd5Be_x4fOGuyanqwoqDp5v6Au8mYahA9EtCXM1/1-stewart-avenue-blacktown-nsw-2148_img0.jpg,"1 Stewart Avenue, Blacktown 2148 NSW is a house. This property has 4 bedrooms and 3 bathrooms. This property is on a 556 square metre block of land. ",1,Stewart,Avenue
